test_id,batch,heads,seq_q,seq_k,head_dim,dtype,causal,pattern,masks,status,output_max_abs_diff,output_max_rel_diff,output_mse,weights_max_abs_diff,weights_max_rel_diff,weights_mse,error
1,1,8,64,64,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
2,2,8,64,64,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
3,1,16,64,64,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
4,2,16,64,64,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
5,1,8,128,128,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
6,2,8,128,128,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
7,1,16,128,128,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
8,2,16,128,128,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
9,1,8,64,64,64,torch.float32,True,random,causal_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
10,2,8,64,64,64,torch.float32,True,random,causal_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
11,1,8,128,128,64,torch.float32,True,random,causal_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
12,2,16,128,128,64,torch.float32,True,random,causal_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
13,1,8,64,128,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
14,2,8,64,128,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
15,1,16,128,256,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
16,2,16,128,256,64,torch.float32,False,random,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
17,1,8,64,64,64,torch.float32,False,zeros,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
18,1,1,1,1,64,torch.float32,False,zeros,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
19,1,8,64,64,64,torch.float32,False,ones,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
20,1,1,1,1,64,torch.float32,False,ones,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
21,1,8,64,64,64,torch.float32,False,very_small,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
22,1,1,1,1,64,torch.float32,False,very_small,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
23,1,8,64,64,64,torch.float32,False,very_large,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
24,1,1,1,1,64,torch.float32,False,very_large,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
25,1,8,64,64,64,torch.float32,False,mixed_sign,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
26,1,1,1,1,64,torch.float32,False,mixed_sign,none,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
27,1,8,64,64,64,torch.float32,False,random,user_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
28,2,8,64,64,64,torch.float32,False,random,user_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
29,1,8,128,128,64,torch.float32,False,random,user_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
30,2,16,128,128,64,torch.float32,False,random,user_only,PASS,0.0,0.0,0.0,0.0,0.0,0.0,
